statistical_sector,ID,n_trees,n_benches,n_trashcans,area_in_ha,total_number_of_inhabitants,population_density_per_km2,men,women,population_0_17_year_olds,population_20_39_year_olds,population_40_59_year_olds,population_60_79_year_olds,population_80_year_olds,births,deaths,natural_growth_b_d,total_growth,elderly_dependency_ratio,youth_dependency_ratio,caregiving_ratio,dependency_coefficient,family_care_index,non_belgian_current_nationality_w_r_t_to_residents,non_belgian_origin_w_r_t_to_inhabitants,private_households,households_without_lipro_children,multi_person_households_with_at_least_1_minor_lipro_child,multi_person_households_with_only_minor_lipro_child_ren,household_1_person,household_2_persons,household_3_persons,household_4_persons,household_5_persons,living_alone_w_r_t_to_private_households,household_without_lipro_children_w_r_t_private_households,multi_person_households_with_at_least_1_minor_lipro_child_w_r_t_private_households,single_parent_household_with_min_1_minor_lipro_child_vs_household_with_min_1_minor_lipro_child,nwwz_unemployed_jobseekers_w_r_t_inhabitants_18_64_yo,nwwz_unemployed_jobseekers,nwwz_short_term_unemployed_jobseekers,nwwz_long_term_unemployed_jobseekers,nwwz_very_long_term_unemployed_jobseekers,commercial_properties,commercial_properties_per_1000_inhabitants,stores_food_products,stores_personal_care,stores_clothing_and_fashion,stores_household_goods,stores_leisure,stores_in_and_around_the_house,stores_brown_and_white_goods,stores_car_and_bicycle,stores_do_it_yourself,stores_others,bars_and_restaurants,consumer_oriented_services_culture,consumer_oriented_services_transportation_and_fuels,consumer_oriented_services_recreation,consumer_oriented_services_others,commercial_properties_vacant_incl_renovation_until_2019,vacant_commercial_properties_w_r_t_commercial_properties_percent,stores_daily_goods_w_r_t_to_stores,commercial_properties_other_retail_w_r_t_to_retail,stores_periodic_goods_w_r_t_stores,stores_periodic_goods_vs_stores,residential_units_in_apartments,residential_units_in_collective_housing,residential_units_in_individual_housing,renters_w_r_t_households_with_known_title_of_ownership,social_rental_housing_social_housing_company_social_rental_office,persons_with_an_increased_allowance,persons_with_an_increased_allowance_w_r_t_persons_on_health_insurance,average_net_taxable_income_per_resident,preschool_students,elementary_school_students,secondary_school_students,indicator_pupils_primary_education_percent,indicator_pupils_secondary_education_percent,education_deprivation_indicator_value_primary_education_ratio,education_deprivation_indicator_value_secondary_education_ratio
Heilig Hart,24062D11-,68,2,4,26.68,1035,3880,518,517,209,388,258,155,25,21,5,16,-22,19.2,30.2,16.5,49.4,20.5,0.133,0.286,469,307,107,55,166,161,60,53,29,0.354,0.655,0.228,0.168,0.032,24,0.458,0.167,0.375,19,18.36,2,1,1,0,2,0,1,1,0,0,3,0,0,0,3,4,0.263,0.375,NA,0.375,0.25,77,NA,452,0.308,1,98,0.094,21580,49,52,72,0.327,0.435,0.71,0.74
Het Broek,24062C51-,227,20,17,42.07,2496,5934,1203,1293,417,852,646,497,84,32,17,15,27,25.1,25.1,13.6,50.2,25.2,0.192,0.357,1279,952,226,101,552,437,133,122,35,0.432,0.744,0.177,0.173,0.033,57,0.404,0.211,0.386,2,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,NA,NA,NA,NA,NA,974,NA,386,0.467,100,296,0.122,23903,101,128,103,0.416,0.432,0.9,0.89
Heuvelhof,24062C12-,911,75,18,25.23,1068,4233,485,583,254,223,248,196,147,14,27,-13,25,57.8,49.2,3,107,123.5,0.09,0.341,447,296,105,46,199,106,45,56,41,0.445,0.662,0.235,0.143,0.036,19,0.368,0.211,0.421,5,4.68,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,NA,0.5,NA,NA,0.5,83,21,369,0.541,154,332,0.311,19833,38,71,85,0.538,0.588,1.16,1.19
Heverlee Centrum,24062D00-,135,36,11,12.83,886,6906,486,400,143,429,183,111,20,5,NA,1,-17,16.1,22.3,14.7,38.4,21.5,0.337,0.44,500,412,64,24,299,109,31,38,23,0.598,0.824,0.128,0.203,0.051,35,0.686,0.143,0.171,40,45.15,4,1,1,1,2,4,0,0,0,1,7,1,0,0,16,2,0.05,0.357,0.071,0.286,0.286,333,NA,376,0.66,13,145,0.166,19866,17,43,51,0.283,0.5,0.7,1.18
Heverlee Dreef,24062D01-,266,9,13,16.28,336,2064,142,194,61,65,62,62,86,NA,8,-6,21,95,43.3,1.4,138.3,296.6,0.158,0.259,135,102,24,9,66,34,9,11,15,0.489,0.756,0.178,NA,0.033,5,0.8,NA,NA,7,20.83,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,NA,NA,NA,NA,NA,98,NA,73,0.318,0,23,0.085,27320,6,12,30,NA,0.276,0.39,0.38
Heverlee Kazerne,24062D290,81,4,2,102.15,128,125,69,59,20,42,38,24,NA,NA,NA,3,-8,22.7,22.7,15.5,45.5,NA,0.164,0.406,55,38,12,5,20,20,11,NA,NA,0.364,0.691,0.218,NA,NA,NA,NA,NA,NA,1,7.81,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NA,NA,NA,NA,NA,42,NA,10,1,0,NA,NA,22195,NA,7,6,0.9,NA,1.6,0.33
Heverlee Kerkhof,24062D19-,412,60,27,25.71,92,358,41,51,18,32,24,15,NA,NA,NA,3,7,19.4,29,13,48.4,NA,0.185,0.304,48,38,9,NA,23,15,6,NA,NA,0.479,0.792,0.188,NA,NA,NA,NA,NA,NA,5,54.35,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,NA,NA,NA,NA,NA,23,NA,25,0.362,0,NA,NA,29957,NA,5,6,NA,NA,0.8,1.33
Heverlee Naamse Poort,24062D02-,153,13,13,12.87,1315,10221,644,671,171,553,224,250,117,17,10,7,-3,37,20.5,4.1,57.5,100.9,0.355,0.48,786,674,84,28,473,198,56,36,23,0.602,0.858,0.107,0.155,0.044,37,0.622,0.162,0.216,33,25.1,4,1,0,0,1,1,0,0,2,0,5,0,1,0,11,7,0.212,0.556,NA,0.111,0.333,795,49,174,0.676,20,256,0.204,19337,57,49,24,0.592,0.458,2.51,2.25
Heverlee Park,24062D209,220,3,5,44.45,651,1465,330,321,133,209,183,105,21,NA,NA,3,8,18.5,30.4,13.7,49,24.1,0.166,0.295,280,169,73,38,101,74,45,42,18,0.361,0.604,0.261,0.137,0.038,17,0.529,0.235,0.235,7,10.75,1,0,0,0,0,0,0,0,0,0,1,1,0,2,1,1,0.143,1,NA,NA,NA,119,NA,182,0.316,0,44,0.07,28069,21,35,44,0.109,0.163,0.42,0.3
Heverlee Station,24062D03-,66,3,11,48.66,2921,6003,1446,1475,462,1205,650,439,165,27,27,0,-41,24.4,23.4,6.6,47.8,51.2,0.272,0.426,1590,1258,244,88,876,404,153,108,49,0.551,0.791,0.153,0.213,0.038,77,0.545,0.117,0.338,42,14.38,9,1,4,0,1,1,0,0,0,1,8,0,0,1,11,4,0.119,0.588,0.059,0.294,0.059,940,96,854,0.608,13,469,0.174,20352,83,145,137,0.347,0.485,1.85,1.87
Heverlee Waverse Baan,24062D04-,26,1,2,132.22,1717,1299,872,845,381,433,432,343,128,8,12,-4,-18,39.6,39.8,6.1,79.4,56.1,0.15,0.25,674,405,176,93,215,197,86,98,78,0.319,0.601,0.261,0.136,0.021,21,0.667,0.143,0.19,5,2.91,0,1,0,0,0,2,0,0,0,0,0,0,0,1,1,0,NA,0.333,NA,NA,0.667,197,7,557,0.269,0,142,0.087,32742,46,119,149,0.167,0.184,0.39,0.35
Heverleebos,24062D390,27,8,12,468.02,14,3,5,9,NA,NA,NA,NA,NA,NA,NA,-1,-5,NA,NA,NA,NA,NA,NA,NA,8,5,NA,NA,5,NA,NA,NA,NA,0.625,0.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ijzeren Brugje,24062E70-,114,6,6,15.8,498,3151,249,249,132,125,135,78,28,NA,NA,0,-2,25.8,45.4,7.6,71.1,41.8,0.096,0.185,201,121,59,21,61,65,26,29,20,0.303,0.602,0.294,0.119,0.065,20,0.6,NA,0.3,2,4.02,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA,0.5,NA,NA,0.5,27,NA,190,0.244,0,37,0.073,NA,24,43,42,0.273,0.256,0.47,0.54
Ijzermolen,24062D644,790,23,20,87.59,2851,3255,1454,1397,430,1194,547,530,150,30,18,12,62,25.3,22.3,7.2,47.6,53.2,0.37,0.499,1579,1263,218,98,874,407,141,103,54,0.554,0.8,0.138,0.142,0.034,69,0.522,0.159,0.319,7,2.46,2,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1,0.143,0.667,0.333,NA,NA,1453,NA,553,0.648,71,478,0.181,19119,74,128,103,0.448,0.374,1.12,0.85
Jeugdsquare,24062C03-,184,3,6,10.57,685,6483,349,336,156,225,168,116,20,9,NA,7,-22,24.2,36.6,14.2,60.8,25.6,0.099,0.385,287,178,74,35,99,83,41,43,21,0.345,0.62,0.258,0.162,0.054,24,0.5,0.208,0.292,6,8.76,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,NA,1,NA,NA,NA,28,NA,277,0.409,60,151,0.215,20020,32,45,65,0.514,0.609,2.14,2.3
Kardinaalstraat,24062A15-,73,26,4,10.73,1026,9560,547,479,148,500,217,121,40,10,7,3,-14,16,19.6,8.5,35.5,40.8,0.349,0.502,592,488,64,40,374,109,42,44,23,0.632,0.824,0.108,0.125,0.049,38,0.474,0.237,0.289,4,3.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,NA,1,NA,NA,NA,757,24,351,0.744,35,161,0.194,19657,28,39,32,0.435,0.5,1.18,1.1
Kareelveld,24062A61-,673,46,30,145.26,855,589,434,421,147,288,167,164,89,9,24,-15,16,43,29.7,3.7,72.7,101.1,0.142,0.256,360,254,71,35,126,138,31,34,31,0.35,0.706,0.197,0.085,0.037,19,0.474,0.263,0.263,10,11.7,0,0,0,0,0,0,0,0,2,1,2,0,0,0,4,1,0.1,NA,0.333,NA,0.667,154,81,226,0.432,0,80,0.096,25769,14,45,47,0.088,0.149,0.3,0.3
Keizersberg,24062A55-,267,45,17,25.33,514,2029,276,238,82,198,121,85,28,6,NA,4,21,25.6,23.8,7.4,49.4,44.4,0.255,0.475,255,200,39,16,128,68,28,21,10,0.502,0.784,0.153,0.154,0.063,22,0.682,NA,0.227,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,165,NA,192,0.571,60,158,0.348,17191,17,29,23,0.537,0.478,1.27,1.13
Kesselberg Leming,24062C61-,220,7,4,103.22,542,525,278,264,113,114,136,150,29,NA,NA,3,2,39.3,36.7,9.9,76,41.4,0.041,0.116,210,126,48,36,41,88,28,29,24,0.195,0.6,0.229,NA,0.039,12,0.667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,221,0.058,1,24,0.047,32398,17,45,36,0.167,0.229,0.3,0.46
Kessel-Lo Achter Centrale,24062C05-,72,14,5,13.37,1314,9831,645,669,243,607,281,163,20,8,NA,4,70,13,25.6,22.2,38.6,18.5,0.274,0.441,721,565,116,40,423,144,65,59,30,0.587,0.784,0.161,0.155,0.029,28,0.5,0.214,0.286,13,9.89,4,0,0,0,1,0,0,0,0,0,5,0,0,0,1,2,0.154,0.8,NA,0.2,NA,353,NA,362,0.551,35,137,0.131,19547,35,61,73,0.298,0.478,1.56,1.99
Kessel-Lo Sportstation,24062C02-,302,37,26,26.15,1408,5384,676,732,319,463,356,236,34,17,5,12,1,20.6,35.3,17.4,55.9,24.3,0.113,0.321,632,404,159,69,241,186,83,78,44,0.381,0.639,0.252,0.239,0.048,44,0.614,0.182,0.205,14,9.94,1,1,0,0,1,0,0,0,0,0,6,1,0,1,2,1,0.071,0.667,NA,0.333,NA,110,NA,528,0.336,8,129,0.106,21099,56,108,101,0.503,0.381,1.13,0.72
Klein Rijsel,24062C40-,30,26,12,12.5,548,4383,283,265,96,253,122,60,17,NA,NA,0,-5,16.8,24.8,10.7,41.6,28.3,0.206,0.431,300,239,47,14,161,76,33,17,13,0.537,0.797,0.157,0.298,0.061,25,0.48,0.12,0.4,6,10.95,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3,1,0.167,NA,NA,NA,1,227,NA,171,0.664,46,67,0.151,20300,17,28,26,0.69,0.458,1.31,0.88
Kleine Gevangenis,24062A32-,280,59,24,22.7,1899,8367,983,916,202,1037,376,233,51,25,10,15,-39,12.9,13.4,11.9,26.3,27,0.363,0.486,1199,1047,96,56,798,251,74,42,34,0.666,0.873,0.08,0.25,0.053,89,0.562,0.191,0.247,36,18.96,3,1,1,0,2,5,0,2,0,1,13,0,0,0,8,0,NA,0.267,0.067,0.2,0.467,1297,NA,782,0.774,40,447,0.238,19064,37,50,60,0.593,0.429,2.33,1.93
Koksijdewijk,24062B352,31,6,7,18.5,635,3433,297,338,164,193,160,101,17,9,5,4,-3,20.8,42.1,15.4,62.8,17.7,0.052,0.266,241,121,78,42,58,76,41,41,25,0.241,0.502,0.324,0.192,0.025,10,0.4,0.3,0.3,1,1.57,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,15,NA,237,0.199,18,87,0.151,21312,27,56,37,0.506,0.595,0.88,1.08
Kwade Hoek,24062B122,198,8,6,64.3,1350,2100,678,672,288,258,405,358,41,13,8,5,-14,39.9,37.9,18.6,77.9,17.7,0.035,0.118,529,289,138,102,87,222,107,71,41,0.164,0.546,0.261,0.145,0.026,22,0.455,0.182,0.364,4,2.96,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,NA,0.5,NA,0.5,NA,11,NA,535,0.07,1,79,0.058,23860,50,82,112,0.273,0.259,0.37,0.4
Ladeuze,24062A23-,107,18,9,7.55,289,3827,142,147,19,175,38,37,20,NA,NA,1,26,18.9,8.4,3.8,27.3,111.1,0.516,0.599,208,194,10,NA,154,39,8,NA,NA,0.74,0.933,0.048,NA,0.022,5,NA,NA,0.6,67,231.83,7,0,11,1,3,1,1,0,0,1,13,2,0,0,13,13,0.209,0.28,0.04,0.6,0.08,413,NA,112,0.861,0,39,0.16,19142,NA,7,5,NA,NA,0.89,0.8
Langeveld Verspreide Bewoning,24062B391,390,6,3,137.19,111,81,54,57,30,24,32,23,NA,NA,NA,-1,-2,17.4,43.5,27.5,60.9,NA,0.063,0.297,39,19,14,6,9,10,5,8,7,0.231,0.487,0.359,NA,NA,NA,NA,NA,NA,1,9.01,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,38,NA,0,12,0.121,25644,5,8,14,0.385,NA,0.46,0.43
Lei Vismarkt,24062A01-,139,29,41,12.65,864,6829,458,406,49,478,131,144,62,6,7,-1,-2,25.8,7.6,4.4,33.3,86.1,0.372,0.45,604,569,22,13,406,158,25,12,NA,0.672,0.942,0.036,0.182,0.05,34,0.559,0.206,0.235,146,168.98,29,4,33,3,4,8,0,1,0,4,38,1,0,0,14,6,0.048,0.384,0.047,0.465,0.105,912,26,497,0.789,5,125,0.168,21419,13,9,16,0.571,0.813,1.52,1.69
Lepelstraat,24062A21-,53,23,18,3.05,272,8912,140,132,16,178,46,28,NA,NA,NA,0,3,10.3,6.9,18.5,17.2,NA,0.357,0.518,201,190,8,NA,148,42,6,NA,NA,0.736,0.945,0.04,NA,0.044,10,0.6,NA,0.3,43,158.09,4,1,9,1,1,1,0,0,1,0,2,1,0,4,12,6,0.14,0.278,NA,0.611,0.111,220,NA,110,0.874,0,28,0.118,20787,NA,5,7,0.556,0.857,1.11,1.57
Leuven Centrum,24062A00-,30,3,25,10.79,764,7079,429,335,72,453,146,78,15,7,NA,3,-28,9.7,11.4,14.9,21.1,23.1,0.554,0.671,539,490,41,8,386,110,20,19,NA,0.716,0.909,0.076,NA,0.065,47,0.532,0.277,0.191,234,306.28,7,2,19,1,5,4,0,0,0,3,158,0,0,2,13,16,0.085,0.22,0.073,0.61,0.098,746,NA,384,0.859,1,177,0.252,13893,24,17,23,0.45,0.409,1.28,1.18
Leuven Diestsestraat,24062A10-,35,2,15,4.17,377,9042,206,171,46,233,62,26,10,NA,NA,-2,23,10.3,15.3,8.8,25.7,37,0.446,0.621,262,240,17,5,189,48,13,7,NA,0.721,0.916,0.065,NA,0.084,25,0.76,0.12,0.12,141,374.01,10,10,39,3,4,5,2,0,0,8,23,0,0,0,20,16,0.121,0.247,0.099,0.568,0.086,321,NA,125,0.914,4,75,0.256,13895,9,10,9,0.789,0.778,1.68,1.44
Leuven Diestsevest,24062A14-,127,9,9,6.65,56,842,31,25,NA,37,8,6,NA,NA,NA,1,-7,15.6,NA,14,NA,NA,0.589,0.661,39,36,NA,NA,30,5,NA,NA,NA,0.769,0.923,NA,NA,0.052,3,NA,NA,NA,11,196.43,0,0,0,0,1,0,2,0,0,0,1,0,2,2,3,0,NA,NA,NA,0.333,0.667,46,NA,21,0.918,0,17,0.254,15545,NA,NA,NA,NA,NA,NA,NA
Leuven Kliniek O.L.Vrouwkerk,24062A04-,108,38,11,11.88,296,2491,147,149,31,153,54,53,5,NA,NA,-1,8,20.5,14.1,21.4,34.5,25,0.378,0.483,203,181,15,7,144,39,8,11,NA,0.709,0.892,0.074,NA,0.043,8,0.625,NA,NA,19,64.19,2,0,0,0,0,0,0,0,0,0,8,1,0,0,5,3,0.158,1,NA,NA,NA,174,18,117,0.736,1,53,0.265,15914,6,8,5,NA,NA,0.71,1
Leuven Naamsestraat Noord,24062A41-,55,3,3,7.55,342,4531,196,146,44,204,52,28,14,NA,NA,2,57,13.7,16.8,5.7,30.5,66.7,0.591,0.684,242,220,18,NA,183,38,10,7,NA,0.756,0.909,0.074,NA,0.052,12,0.583,NA,0.333,16,46.78,0,0,0,0,1,0,0,0,0,0,8,1,0,2,2,2,0.125,NA,NA,1,NA,432,NA,67,0.8,0,125,0.388,11537,NA,12,11,0.538,0.5,1.38,0.8
Leuven Nieuw Kwartier,24062A42-,377,16,21,24.53,2134,8700,1092,1042,380,940,439,319,56,30,NA,26,-16,18.8,25.7,13.5,44.6,25.5,0.276,0.395,1142,888,171,83,625,272,95,91,59,0.547,0.778,0.15,0.175,0.051,85,0.576,0.165,0.259,34,15.93,6,1,0,0,1,1,0,0,1,1,9,0,0,0,7,7,0.206,0.636,0.091,0.091,0.182,1166,NA,990,0.657,34,300,0.147,21532,52,103,133,0.417,0.279,0.81,0.55
Leuven Stadspark,24062A02-,218,41,35,9.98,319,3196,145,174,21,149,41,50,58,NA,5,-4,39,51.3,10.7,1.6,61.9,341.2,0.451,0.536,240,226,10,NA,192,36,6,6,NA,0.8,0.942,0.042,NA,0.074,14,0.571,0.214,0.214,46,144.2,3,1,0,0,0,0,0,0,0,0,29,0,0,0,6,5,0.152,1,NA,NA,NA,345,27,124,0.759,0,54,0.213,17090,6,NA,10,0.556,NA,1.44,1.22
Leuven Station,24062A17-,18,7,9,9.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,2,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,NA,1,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lobergen,24062C2PA,309,57,27,50.78,365,719,188,177,96,91,80,78,20,NA,NA,1,11,37.2,49,7.9,86.2,45.5,0.074,0.137,152,94,40,18,49,48,16,23,15,0.322,0.618,0.263,NA,0.03,6,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,142,0.107,0,65,0.172,25624,17,23,21,NA,0.238,0.08,0.62
Mannenstraat,24062A53-,118,33,44,21.39,1983,9271,945,1038,340,884,390,303,66,27,9,18,88,22,25.2,10.5,47.2,34.4,0.335,0.58,1172,938,162,72,713,257,101,68,33,0.608,0.8,0.138,0.284,0.065,79,0.494,0.203,0.304,11,5.55,3,0,0,0,0,1,0,0,0,0,2,0,0,0,0,5,0.455,0.75,NA,NA,0.25,1097,35,369,0.796,306,534,0.311,17065,82,97,80,0.722,0.73,2.6,2.45
Maria Theresiastraat,24062A22-,25,0,0,6.27,330,5266,176,154,28,185,59,48,10,NA,NA,2,17,13.5,10.5,10.7,24.1,37,0.321,0.4,211,192,13,6,144,43,9,9,6,0.682,0.91,0.062,NA,0.024,6,0.5,NA,NA,7,21.21,0,0,0,0,0,0,0,0,0,0,3,0,0,1,2,1,0.143,NA,NA,NA,NA,128,NA,132,0.761,0,40,0.14,23118,6,8,NA,NA,NA,0.64,NA
Matadi,24062D21-,212,67,32,29.26,1632,5577,831,801,299,637,335,302,59,11,8,3,-4,26.1,28.3,10.8,54.4,37.6,0.192,0.293,830,626,137,67,395,248,64,77,46,0.476,0.754,0.165,0.182,0.044,48,0.583,0.208,0.208,6,3.68,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,1,0.167,0.333,NA,0.333,0.333,310,88,643,0.452,6,157,0.103,22330,59,90,100,0.257,0.258,0.49,0.42
Mechelsestraat,24062A05-,28,1,12,11.33,1170,10323,606,564,179,571,263,119,38,12,NA,9,33,13.9,20.6,10.1,34.5,30.4,0.258,0.392,648,515,99,34,359,161,62,38,28,0.554,0.795,0.153,0.212,0.047,38,0.737,0.184,0.079,7,5.98,2,1,0,0,0,0,0,0,0,0,3,0,0,1,0,0,NA,1,NA,NA,NA,540,NA,315,0.604,8,171,0.17,21022,26,36,57,0.393,0.421,0.87,0.89
Molenbeek,24062D05-,557,17,19,21.64,597,2759,273,324,100,182,127,114,74,NA,9,-8,1,45.7,29.3,3.3,75.1,102.8,0.211,0.3,321,240,45,36,182,64,29,31,15,0.567,0.748,0.14,0.111,0.037,14,0.571,0.357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,435,NA,171,0.631,0,83,0.145,23906,16,24,24,0.25,0.25,0.4,0.5
Nieuwe Steenweg,24062B11-,28,3,2,32.56,489,1502,248,241,120,141,126,83,19,7,NA,6,-1,24.2,40.4,11,64.6,30.2,0.031,0.121,195,105,62,28,41,71,40,32,11,0.21,0.538,0.318,0.177,0.023,7,0.571,NA,NA,3,6.13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0.333,NA,NA,NA,NA,17,NA,198,0.194,3,60,0.124,22691,25,32,37,0.333,0.467,0.46,0.73
Noormannen,24062A54-,44,4,0,17.8,1592,8942,822,770,271,706,365,204,46,22,NA,18,9,16.7,23.9,12.4,40.6,28.9,0.264,0.454,874,694,137,43,489,204,83,64,34,0.559,0.794,0.157,0.212,0.059,72,0.597,0.181,0.222,5,3.14,1,0,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0.2,0.5,NA,NA,0.5,493,125,563,0.677,62,333,0.211,20675,55,78,87,0.5,0.517,2.08,2.1
Pasteurwijk,24062C42-,193,38,20,13.53,802,5929,397,405,200,228,205,143,26,13,NA,10,2,24.9,41.5,13.4,66.4,28.6,0.089,0.251,335,206,99,30,100,107,50,58,20,0.299,0.615,0.296,0.162,0.045,23,0.522,NA,0.391,2,2.49,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,NA,1,NA,NA,NA,66,NA,280,0.291,1,71,0.089,24418,40,73,51,0.266,0.354,0.59,0.63
Pinkstermolen,24062C13-,110,0,2,93.22,1840,1974,916,924,451,469,574,297,49,14,5,9,11,20.1,39,17.8,59,17.1,0.083,0.29,713,376,214,123,168,240,125,110,70,0.236,0.527,0.3,0.182,0.037,45,0.422,0.244,0.333,15,8.15,2,1,0,0,0,2,0,1,0,0,1,0,1,0,5,2,0.133,0.5,NA,NA,0.5,120,NA,610,0.198,18,155,0.097,22072,55,151,163,0.338,0.404,0.64,0.67
Plein,24062C63-,586,56,29,37.92,287,757,151,136,64,75,82,56,10,NA,NA,1,0,25.3,36,13.8,61.2,26.3,0.045,0.118,116,65,28,23,33,36,18,20,9,0.284,0.56,0.241,0.143,0.027,5,0.6,NA,NA,1,3.48,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,127,0.123,0,15,0.054,23651,8,21,24,0.241,0.273,0.24,0.36
Predikherenbrug,24062E742,23,0,0,64.84,268,413,144,124,51,69,74,63,11,NA,NA,0,3,36.5,32.1,12.5,68.6,34.4,0.049,0.183,123,90,23,10,50,37,12,17,7,0.407,0.732,0.187,NA,0.063,10,0.6,NA,NA,9,33.58,1,0,0,0,1,1,1,0,0,0,2,0,1,0,1,1,0.111,0.25,NA,0.25,0.5,11,14,96,0.226,0,31,0.112,29474,NA,19,19,NA,0.263,0.17,0.42
Puthof,24062B091,16,0,4,52.59,60,114,28,32,13,5,22,19,NA,NA,NA,0,1,46.9,40.6,41,87.5,NA,NA,0.083,29,22,6,NA,13,8,NA,NA,NA,0.448,0.759,0.207,NA,NA,NA,NA,NA,NA,2,33.33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,NA,NA,NA,NA,NA,6,NA,24,0.321,0,NA,NA,23800,NA,5,NA,NA,NA,NA,NA
Putkapel,24062B191,51,7,4,191.54,214,112,112,102,55,57,61,29,12,5,NA,4,7,26.2,43.7,7.5,69.8,48,0.033,0.098,77,35,29,13,11,28,16,15,7,0.143,0.455,0.377,0.103,0.025,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,0.118,0,NA,NA,21556,8,18,18,NA,NA,0.17,0.29
Putkapel Centrum,24062B100,203,17,20,97.86,2550,2606,1243,1307,619,655,644,410,222,31,36,-5,85,33.8,42.9,4.7,76.7,73.3,0.08,0.217,1035,619,309,107,321,327,151,163,73,0.31,0.598,0.299,0.142,0.027,39,0.282,0.333,0.385,65,25.49,8,2,7,0,3,4,1,2,1,0,11,1,3,4,12,5,0.092,0.357,NA,0.357,0.286,198,26,848,0.27,1,246,0.11,21619,107,203,175,0.292,0.371,0.5,0.66
Redingen,24062A44-,52,5,1,16.34,1004,6146,531,473,130,504,195,147,28,10,5,5,-2,17.6,17.5,12.2,35.1,29.2,0.368,0.509,637,549,69,19,424,126,38,36,13,0.666,0.862,0.108,0.188,0.044,34,0.618,NA,0.324,13,12.95,1,0,1,0,0,0,1,0,1,0,5,0,0,0,3,1,0.077,0.25,NA,0.25,0.5,904,NA,258,0.726,0,192,0.209,18484,23,33,38,0.491,0.333,1.36,0.58
Rerum Novarum,24062C14-,304,21,20,19.8,674,3404,324,350,158,164,193,115,44,8,NA,5,-24,25.2,38.3,7,63.6,41.9,0.047,0.159,261,139,80,42,63,80,45,51,22,0.241,0.533,0.307,0.1,0.02,9,0.556,NA,NA,2,2.97,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA,1,NA,NA,NA,23,NA,244,0.112,0,21,0.03,26843,24,58,48,0.098,0.149,0.23,0.28
Roeselberg,24062B34-,99,10,4,65.03,807,1241,397,410,203,203,233,129,39,NA,NA,0,-25,25.3,42.1,9.3,67.4,34.8,0.094,0.342,306,163,93,50,66,103,55,53,29,0.216,0.533,0.304,0.161,0.039,20,0.6,0.15,0.25,3,3.72,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0.333,NA,NA,NA,NA,31,NA,301,0.207,11,80,0.108,23658,38,67,81,0.476,0.385,1.04,0.85
